Term,Occurrence,Word count
cities,15,1
members,13,1
Macedon,11,1
Achaeans,9,1
Greece,8,1
league,8,1
government,7,1
union,5,1
Greece seventy-three years,1,3
arts,5,1
THERE TEMPERED BY,1,3
confederacy,5,1
war,5,1
Philip,5,1
authority,5,1
Amphictyonic council,3,2
Athens,4,1
laws,4,1
powers,4,1
Sparta,4,1
Amphictyonic confederacy,2,2
Grecian republics,2,2
policy,4,1
oppression erelong,1,2
others,3,1
material difference,1,2
use coercion,1,2
Macedonian garrisons,1,2
latter,3,1
Peloponnesian war,1,2
Romans,3,1
Macedonian power,1,2
Persian arms,1,2
vicissitudes convulsions,1,2
Abbe Milot,1,2
Lacedaemonians,3,1
Greeks,3,1
Cleomenes,3,1
unprovoked attack,1,2
Syrian princes,1,2
Macedonian army,1,2
Athenians,3,1
material instances,1,2
consecrated ground,1,2
temple,3,1
Amphictyons,3,1
council,3,1
theory,3,1
Achaean affairs,1,2
American States,1,2
Achaean league,1,2
Abbe Mably,1,2
Achaean republic,1,2
oath,3,1
aggressing party,1,2
GENERAL AUTHORITY,1,2
arms,3,1
Achaean constitution,1,2
fact,2,1
king,2,1
jealousy,2,1
administration,2,1
system,2,1
ambition,2,1
history,2,1
deliberations,2,1
sovereignty,2,1
exercise,2,1
interest,2,1
peace,2,1
liberty,2,1
tyranny,2,1
successors,2,1
Alexander,2,1
leaders,2,1
senate,2,1
effect,2,1
Phocians,2,1
ruin,2,1
opportunity,2,1
dissensions,2,1
rivals,2,1
glory,2,1
master,2,1
fate,2,1
chains,2,1
Rome,2,1
Xerxes,2,1
pride,2,1
Thebans,2,1
confederation,2,1
disorders,2,1
deputies,2,1
jurisdiction,2,1
outlines,2,1
party,2,1
superstition,2,1
name,2,1
votes,2,1
rest,2,1
right,2,1
capacities,2,1
head,2,1
subordination,2,1
controversies,2,1
pieces,2,1
enemy,2,1
hope,2,1
hour,1,1
intermeddling,1,1
observations,1,1
BECAUSE,1,1
portion,1,1
Achaia,1,1
faction,1,1
LAWS,1,1
CONFEDERACY,1,1
difficulty,1,1
degree,1,1
distraction,1,1
harmony,1,1
vicissitudes,1,1
republic,1,1
Whilst,1,1
figure,1,1
imbecility,1,1
lesson,1,1
people,1,1
supplement,1,1
science,1,1
member,1,1
PUBLIUS,1,1
legislation,1,1
circumstance,1,1
genius,1,1
systems,1,1
monuments,1,1
fabric,1,1
anarchy,1,1
structure,1,1
operation,1,1
light,1,1
bodies,1,1
prerogatives,1,1
experiments,1,1
tendency,1,1
historians,1,1
notice,1,1
renovation,1,1
Aratus,1,1
dissolution,1,1
moderation,1,1
justice,1,1
violence,1,1
sedition,1,1
victim,1,1
SINGLY,1,1
theatre,1,1
astonishment,1,1
violation,1,1
throne,1,1
undertaking,1,1
court,1,1
alliance,1,1
opposition,1,1
AEtolians,1,1
Kings,1,1
Egypt,1,1
Syria,1,1
Messene,1,1
revolt,1,1
combinations,1,1
tyrannies,1,1
toleration,1,1
dread,1,1
compliances,1,1
neighbors,1,1
Egyptian,1,1
ally,1,1
vanquished,1,1
breach,1,1
engagements,1,1
dilemma,1,1
affairs,1,1
aid,1,1
oppressor,1,1
contests,1,1
recourse,1,1
succor,1,1
views,1,1
inveigling,1,1
sincerity,1,1
princes,1,1
division,1,1
city,1,1
neighbor,1,1
disorder,1,1
discord,1,1
effectually,1,1
countrymen,1,1
usurpers,1,1
confusions,1,1
shame,1,1
instruments,1,1
enterprise,1,1
love,1,1
Callicrates,1,1
Dissensions,1,1
example,1,1
opportunities,1,1
crisis,1,1
tyrants,1,1
Peloponnesus,1,1
progress,1,1
enthusiasm,1,1
envy,1,1
invitation,1,1
confederacies,1,1
Union,1,1
adoption,1,1
intervals,1,1
arbiter,1,1
years,1,1
period,1,1
battle,1,1
Leuctra,1,1
domination,1,1
Plutarch,1,1
judgment,1,1
favor,1,1
midst,1,1
wars,1,1
Persia,1,1
concert,1,1
hirelings,1,1
carnage,1,1
tyrannized,1,1
inefficiency,1,1
magnitude,1,1
orbs,1,1
satellites,1,1
center,1,1
majesty,1,1
condition,1,1
piece,1,1
conclusion,1,1
attempt,1,1
masters,1,1
measure,1,1
partisans,1,1
part,1,1
number,1,1
Demosthenes,1,1
awe,1,1
necessity,1,1
oracle,1,1
accounts,1,1
institution,1,1
analogy,1,1
Confederation,1,1
character,1,1
states,1,1
welfare,1,1
resort,1,1
force,1,1
guardians,1,1
religion,1,1
riches,1,1
Delphos,1,1
inhabitants,1,1
provision,1,1
destruction,1,1
hands,1,1
weakness,1,1
Congress,1,1
experiment,1,1
occasions,1,1
engines,1,1
times,1,1
articles,1,1
efficacy,1,1
purposes,1,1
apparatus,1,1
paper,1,1
despoilers,1,1
vengeance,1,1
violators,1,1
experience,1,1
success,1,1
Lycurgus,1,1
senators,1,1
antiquity,1,1
organization,1,1
instance,1,1
catastrophe,1,1
officers,1,1
equality,1,1
ambassadors,1,1
treaties,1,1
alliances,1,1
magistrate,1,1
praetor,1,1
armies,1,1
advice,1,1
consent,1,1
recess,1,1
supplies,1,1
uncertainty,1,1
institutions,1,1
abolition,1,1
Philopoemen,1,1
Lacedaemon,1,1
usages,1,1
manner,1,1
money,1,1
share,1,1
measures,1,1
weights,1,1
customs,1,1
trial,1,1
praetors,1,1
constitution,1,1
instruction,1,1
society,1,1
reformation,1,1
decree,1,1
victories,1,1
enemies,1,1
mischief,1,1
jealousies,1,1
fears,1,1
hatreds,1,1
injuries,1,1
slavery,1,1
dissentions,1,1
calamities,1,1
ploughed,1,1
Apollo,1,1
age,1,1
offenders,1,1
god,1,1
projects,1,1
admission,1,1
barrier,1,1
observer,1,1
establishment,1,1
principle,1,1
consequences,1,1
Such,1,1
influence,1,1
assistance,1,1
interests,1,1
bribes,1,1
intrigues,1,1
liberties,1,1
designs,1,1
contest,1,1
independence,1,1
